address,type,x-text
0x46b96c,string,"フォグの使用を抑制します\n"
0x46b988,string,"頂点バッファの使用を抑制します\n"
0x46b9a8,string,"コンフィグデータが破壊されていたので再初期化しました\n"
0x46b9e0,string,"コンフィグデータが見つからないので初期化しました\n"
0x46ba14,string,"wave データが無いので、midi にします\n"
0x46ba3c,string,"bgm/th06_01.wav"
0x46ba70,string,"data/music02.anm"
0x46ba84,string,"data/music01.anm"
0x46ba98,string,"data/music00.anm"
0x46baac,string,"data/result/music.jpg"
0x46bae0,string,"data/player00.anm"
0x46bafc,string,"error : replay.cpp"
0x46bb10,string,"NO NAME"
0x46bb18,string,"Replay Size %d\n"
0x46bc0c,string,"        "
0x46bc20,string,"./replay/th6_%.2d.rpy"
0x46bc38,string,"replay"
0x46bc40,string,"    Extra"
0x46bc4c,string,"  Lunatic"
0x46bc58,string,"     Hard"
0x46bc64,string,"   Normal"
0x46bc70,string,"     Easy"
0x46bc88,string,"      100%%"
0x46bc98,string,"    %3.2f%%"
0x46bcec,string,"MarisaB"
0x46bcf4,string,"MarisaA"
0x46bcfc,string,"ReimuB "
0x46bd04,string,"ReimuA "
0x46bd0c,string,"No.%.2d -------- --/--/-- -------         0"
0x46bd38,string,"      %8s"
0x46bd44,string,"No.%.2d %8s %8s %7s %9d"
0x46bd5c,string,"No.   Name     Date     Player Score"
0x46bd8c,string,"%3d/%3d"
0x46bd94,string,"No.%.2d"
0x46bda8,string,"%8s %9d(C)"
0x46bdb4,string,"%8s %9d(1)"
0x46bdc0,string,"%8s %9d(%d)"
0x46bdd4,string,"   %8s"
0x46bdfc,string,"data/result03.anm"
0x46be10,string,"data/result02.anm"
0x46be24,string,"data/result01.anm"
0x46be38,string,"data/result00.anm"
0x46be4c,string,"data/result/result.jpg"
0x46be64,string,"data/wav/powerup.wav"
0x46be7c,string,"data/wav/graze.wav"
0x46be90,string,"data/wav/timeout.wav"
0x46bea8,string,"data/wav/extend.wav"
0x46bebc,string,"data/wav/kira02.wav"
0x46bed0,string,"data/wav/kira01.wav"
0x46bee4,string,"data/wav/kira00.wav"
0x46bef8,string,"data/wav/item00.wav"
0x46bf0c,string,"data/wav/damage00.wav"
0x46bf24,string,"data/wav/nep00.wav"
0x46bf38,string,"data/wav/enep01.wav"
0x46bf4c,string,"data/wav/lazer01.wav"
0x46bf64,string,"data/wav/lazer00.wav"
0x46bf7c,string,"data/wav/cat00.wav"
0x46bf90,string,"data/wav/gun00.wav"
0x46bfa4,string,"data/wav/select00.wav"
0x46bfbc,string,"data/wav/cancel00.wav"
0x46bfd4,string,"data/wav/ok00.wav"
0x46bfe8,string,"data/wav/tan02.wav"
0x46bffc,string,"data/wav/tan01.wav"
0x46c010,string,"data/wav/tan00.wav"
